STNAME,CTYNAME,New_percent_change
Alabama,Autauga County,16.325390395843197
Alabama,Baldwin County,35.55683261750653
Alabama,Barbour County,0.0
Alabama,Bibb County,13.458643953747762
Alabama,Blount County,21.571328954471824
Alabama,Bullock County,0.0
Alabama,Butler County,-1.6368790173402648
Alabama,Calhoun County,14.300460709318541
Alabama,Chambers County,8.263316118091435
Alabama,Cherokee County,26.85073339085422
Alabama,Chilton County,17.088213132901075
Alabama,Clarke County,0.0
Alabama,Clay County,29.726373196182454
Alabama,Cleburne County,6.046915564917721
Alabama,Coffee County,18.403812319308187
Alabama,Colbert County,13.701985824147144
Alabama,Conecuh County,7.374013399730894
Alabama,Coosa County,34.936730802565386
Alabama,Covington County,21.66675011265209
Alabama,Crenshaw County,4.124182830701328
Alabama,Cullman County,28.1528916624338
Alabama,Dale County,17.008945143637177
Alabama,Dallas County,10.940150938980885
Alabama,Elmore County,16.93629234931404
Alabama,Escambia County,17.4133863156587
Alabama,Etowah County,13.674893287706013
Alabama,Fayette County,17.657854423564046
Alabama,Franklin County,19.059832653576116
Alabama,Geneva County,14.56491391344812
Alabama,Greene County,8.499133970931538
Alabama,Hale County,26.214692048169
Alabama,Henry County,13.946702184986748
Alabama,Houston County,-0.05453837164005604
Alabama,Jackson County,24.246171511852555
Alabama,Jefferson County,26.569028570435794
Alabama,Lamar County,20.14624467982975
Alabama,Lauderdale County,14.023941563918907
Alabama,Lawrence County,57.03575082108434
Alabama,Lee County,22.198726435156637
Alabama,Limestone County,0.0
Alabama,Lowndes County,3.4730705163797726
Alabama,Macon County,15.93862815884477
Alabama,Madison County,16.79540821800234
Alabama,Marengo County,22.772738775455824
Alabama,Marion County,19.75065164324432
Alabama,Marshall County,35.95028206939623
Alabama,Mobile County,7.560951121969195
Alabama,Monroe County,0.0
Alabama,Montgomery County,-7.9482223920176125
Alabama,Morgan County,37.26017977307332
Alabama,Pickens County,27.850431342381434
Alabama,Pike County,7.509525211696144
Alabama,Randolph County,25.801317100435007
Alabama,Russell County,12.400527636017644
Alabama,Shelby County,23.41024573950485
Alabama,Sumter County,0.0
Alabama,Talladega County,12.983122906467347
Alabama,Tallapoosa County,19.939582123713606
Alabama,Tuscaloosa County,19.991585583299386
Alabama,Walker County,7.338879218753558
Alabama,Washington County,0.0
Alabama,Wilcox County,8.51620077366233
Alabama,Winston County,11.87820142405216
Alaska,Fairbanks North Star Borough,10.084438068625179
Alaska,Kenai Peninsula Borough,24.87085642580775
Alaska,Ketchikan Gateway Borough,21.267599034834973
Alaska,Kodiak Island Borough,35.89047068095308
Alaska,Petersburg Borough,5.354311654066324
Arizona,Apache County,73.37363074504934
Arizona,Cochise County,64.97736992899557
Arizona,Coconino County,39.48434843184696
Arizona,Gila County,66.99722771109211
Arizona,Graham County,83.87435944549932
Arizona,Greenlee County,104.38553081182995
Arizona,La Paz County,75.00757485332323
Arizona,Maricopa County,95.77437962559858
Arizona,Mohave County,67.56999117387466
Arizona,Navajo County,59.47502703313947
Arizona,Pima County,35.697327010263756
Arizona,Pinal County,99.1549718323944
Arizona,Santa Cruz County,64.38021656892379
Arizona,Yavapai County,61.17126742621153
Arizona,Yuma County,22.168921507943516
Arkansas,Arkansas County,28.858479126970394
Arkansas,Ashley County,19.136992840095445
Arkansas,Baxter County,19.65959143722018
Arkansas,Benton County,45.643065274262426
Arkansas,Boone County,25.076809815950906
Arkansas,Bradley County,12.361094203780642
Arkansas,Calhoun County,35.53142857142857
Arkansas,Carroll County,26.559702579302204
Arkansas,Chicot County,19.879365401186067
Arkansas,Clark County,21.587480651677748
Arkansas,Clay County,45.80189395857599
Arkansas,Cleburne County,22.71700042888718
Arkansas,Cleveland County,21.613494398843656
Arkansas,Columbia County,35.031313331403254
Arkansas,Conway County,28.421381437663463
Arkansas,Craighead County,27.759215062317686
Arkansas,Crawford County,23.9587005791992
Arkansas,Crittenden County,10.206329703851225
Arkansas,Cross County,24.599512025095848
Arkansas,Dallas County,5.256229648276012
Arkansas,Desha County,26.11538077652462
Arkansas,Drew County,28.892796193825255
Arkansas,Faulkner County,17.162474662403326
Arkansas,Franklin County,10.401746523125265
Arkansas,Fulton County,9.188159437280197
Arkansas,Garland County,20.400183807228167
Arkansas,Greene County,31.511085180863454
Arkansas,Hempstead County,4.5481258510714495
Arkansas,Hot Spring County,19.966907013539203
Arkansas,Howard County,32.74169776411928
Arkansas,Independence County,24.707513098326416
Arkansas,Izard County,17.441427084270455
Arkansas,Jackson County,32.33301064859633
Arkansas,Jefferson County,6.256357179821226
Arkansas,Johnson County,31.475970932682863
Arkansas,Lafayette County,0.0
Arkansas,Lawrence County,27.19205453690643
Arkansas,Lee County,12.299686747611794
Arkansas,Lincoln County,46.92978912498993
Arkansas,Little River County,0.0
Arkansas,Logan County,2.1058549924608316
Arkansas,Lonoke County,11.952146601048286
Arkansas,Madison County,22.48424543946934
Arkansas,Marion County,6.935172696385594
Arkansas,Miller County,30.57257157144646
Arkansas,Mississippi County,18.146199055045507
Arkansas,Monroe County,0.0
Arkansas,Montgomery County,31.247271321117132
Arkansas,Nevada County,11.638356937844051
Arkansas,Newton County,0.0
Arkansas,Ouachita County,36.442662092306264
Arkansas,Perry County,33.86887833350707
Arkansas,Phillips County,5.789874645058513
Arkansas,Pike County,22.45534680308996
Arkansas,Poinsett County,34.885230874995266
Arkansas,Polk County,35.65939654198218
Arkansas,Pope County,33.183154364450004
