,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE,Percent_change,New_percent_change
876,Alabama,Autauga County,178985.0,2010,54773,4785437,0.011445767648806159,2048.62,0.0,1.0
3612,Alabama,Autauga County,175962.0,2011,55227,4799069,0.011507857044772642,2024.95,-0.0169,0.9831
6348,Alabama,Autauga County,174609.0,2012,54954,4815588,0.011411690534987627,1992.58,-0.0077,0.9923
9084,Alabama,Autauga County,173650.0,2013,54727,4830081,0.011330451808158082,1967.53,-0.0055,0.9945
11820,Alabama,Autauga County,178496.0,2014,54893,4841799,0.011337314911255093,2023.67,0.0279,1.0279
14556,Alabama,Autauga County,183537.0,2015,54864,4852347,0.0113066934413388,2075.2,0.0282,1.0282
17292,Alabama,Autauga County,188128.0,2016,55243,4863525,0.011358633912645664,2136.88,0.025,1.025
20028,Alabama,Autauga County,191623.0,2017,55390,4874486,0.011363249376447076,2177.46,0.0186,1.0186
22764,Alabama,Autauga County,200532.0,2018,55533,4887681,0.011361829873921805,2278.41,0.0465,1.0465
25500,Alabama,Autauga County,208205.0,2019,55869,4903185,0.011394430354963151,2372.38,0.0383,1.0383
318,Alabama,Baldwin County,165310.0,2010,183112,4785437,0.03826442600748897,6325.49,0.0,1.0
3054,Alabama,Baldwin County,155783.0,2011,186558,4799069,0.03887378989549848,6055.88,-0.0576,0.9424
5790,Alabama,Baldwin County,155472.0,2012,190145,4815588,0.03948531311233436,6138.86,-0.002,0.998
8526,Alabama,Baldwin County,163523.0,2013,194885,4830081,0.04034818463706923,6597.86,0.0518,1.0518
11262,Alabama,Baldwin County,169548.0,2014,199183,4841799,0.04113822155773092,6974.9,0.0368,1.0368
13998,Alabama,Baldwin County,176604.0,2015,202939,4852347,0.0418228539714905,7386.08,0.0416,1.0416
16734,Alabama,Baldwin County,182719.0,2016,207601,4863525,0.04268529513058944,7799.41,0.0346,1.0346
19470,Alabama,Baldwin County,190736.0,2017,212521,4874486,0.043598648144645404,8315.83,0.0439,1.0439
22206,Alabama,Baldwin County,214645.0,2018,217855,4887681,0.04457226238782768,9567.21,0.1254,1.1254
24942,Alabama,Baldwin County,224089.0,2019,223234,4903185,0.04552836574593861,10202.41,0.044,1.044
1454,Alabama,Barbour County,0.0,2010,27327,4785437,0.005710450268178225,0.0,0.0,1.0
4190,Alabama,Barbour County,0.0,2011,27341,4799069,0.0056971466757406485,0.0,0.0,1.0
6926,Alabama,Barbour County,0.0,2012,27169,4815588,0.005641886307549566,0.0,0.0,1.0
9662,Alabama,Barbour County,0.0,2013,26937,4830081,0.005576925107467142,0.0,0.0,1.0
12398,Alabama,Barbour County,0.0,2014,26755,4841799,0.005525838639728746,0.0,0.0,1.0
15134,Alabama,Barbour County,0.0,2015,26283,4852347,0.005416554092277408,0.0,0.0,1.0
17870,Alabama,Barbour County,0.0,2016,25806,4863525,0.0053060280352213674,0.0,0.0,1.0
20606,Alabama,Barbour County,0.0,2017,25157,4874486,0.005160954406269707,0.0,0.0,1.0
23342,Alabama,Barbour County,0.0,2018,24872,4887681,0.005088711804227813,0.0,0.0,1.0
26078,Alabama,Barbour County,100836.0,2019,24686,4903185,0.005034686637359186,507.68,0.0,1.0
1624,Alabama,Bibb County,0.0,2010,22870,4785437,0.0047790828716374285,0.0,0.0,1.0
4360,Alabama,Bibb County,112946.0,2011,22745,4799069,0.004739460924608502,535.3,0.0,1.0
7096,Alabama,Bibb County,110718.0,2012,22667,4815588,0.004707005665767088,521.15,-0.0197,0.9803
9832,Alabama,Bibb County,107050.0,2013,22521,4830081,0.004662654725666091,499.14,-0.0331,0.9669
12568,Alabama,Bibb County,108775.0,2014,22553,4841799,0.004657979399805733,506.67,0.0161,1.0161
15304,Alabama,Bibb County,109523.0,2015,22566,4852347,0.004650533030716888,509.34,0.0069,1.0069
18040,Alabama,Bibb County,113284.0,2016,22586,4863525,0.00464395680088002,526.09,0.0343,1.0343
20776,Alabama,Bibb County,117161.0,2017,22550,4874486,0.004626128785681198,542.0,0.0342,1.0342
23512,Alabama,Bibb County,122514.0,2018,22367,4887681,0.004576198814939027,560.65,0.0457,1.0457
26248,Alabama,Bibb County,128147.0,2019,22394,4903185,0.004567235378636539,585.28,0.046,1.046
844,Alabama,Blount County,177824.0,2010,57376,4785437,0.011989709612727113,2132.06,0.0,1.0
3580,Alabama,Blount County,173698.0,2011,57560,4799069,0.011993993001559261,2083.33,-0.0232,0.9768
6316,Alabama,Blount County,172790.0,2012,57580,4815588,0.011957002966200597,2066.05,-0.0052,0.9948
9052,Alabama,Blount County,172009.0,2013,57619,4830081,0.011929199531022358,2051.93,-0.0045,0.9955
11788,Alabama,Blount County,176975.0,2014,57526,4841799,0.011881121046123558,2102.66,0.0289,1.0289
14524,Alabama,Blount County,181478.0,2015,57526,4852347,0.011855293943322685,2151.48,0.0254,1.0254
17260,Alabama,Blount County,186656.0,2016,57494,4863525,0.011821466940130872,2206.55,0.0285,1.0285
19996,Alabama,Blount County,193270.0,2017,57787,4874486,0.011854993531625694,2291.21,0.0354,1.0354
22732,Alabama,Blount County,204899.0,2018,57771,4887681,0.011819715730220528,2421.85,0.0602,1.0602
25468,Alabama,Blount County,216183.0,2019,57826,4903185,0.011793558676656091,2549.57,0.0551,1.0551
2265,Alabama,Bullock County,0.0,2010,10876,4785437,0.002272728697504533,0.0,0.0,1.0
5001,Alabama,Bullock County,0.0,2011,10675,4799069,0.002224389772266246,0.0,0.0,1.0
7737,Alabama,Bullock County,0.0,2012,10606,4815588,0.0022024309388593874,0.0,0.0,1.0
10473,Alabama,Bullock County,0.0,2013,10549,4830081,0.0021840213445695838,0.0,0.0,1.0
13209,Alabama,Bullock County,0.0,2014,10663,4841799,0.0022022805985956874,0.0,0.0,1.0
15945,Alabama,Bullock County,0.0,2015,10400,4852347,0.0021432927199971476,0.0,0.0,1.0
18681,Alabama,Bullock County,0.0,2016,10389,4863525,0.0021361049855814457,0.0,0.0,1.0
21417,Alabama,Bullock County,0.0,2017,10176,4874486,0.002087604723862167,0.0,0.0,1.0
24153,Alabama,Bullock County,0.0,2018,10174,4887681,0.002081559741726189,0.0,0.0,1.0
26889,Alabama,Bullock County,0.0,2019,10101,4903185,0.0020600895132449623,0.0,0.0,1.0
1716,Alabama,Butler County,75143.0,2010,20932,4785437,0.004374104183170732,328.68,0.0,1.0
