RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,37,216672,216783,217771,219564,221795,223831,225925,228294,230443,232184,233856,235539,236731,237833,239270,241516,243753,246065,248459,251115,253415,255870,258012,260392,262153,264219,266817,270234,273988,277647,282408,287491,292944,297801,302638,307237,310843,314014,317818,321817,326988,331009,337004,343216,350197,355378,360403,365833,372275,378776,385486,394006,404752,415271,424703,433342,443734,453648,460358,466014,470357,477805,484685,492392,498667,506376,514985,524443,533719,544222,551571,558036,563632,568590,574053,577805,583698,588204,591135,592997,591279,590915,590734,592686,593273,593019,591464,590958,588315,585645,580621,575643,570072,563344,557452,551176,547110,541090,531363,517649,502445,488836,475160,463035,453964,446389,438698,427985,420508,415700,413189,409786,406593,402205,399109,397441,397001,396869,398465,403086,405192,404756,405649,408054,412358,411010,409001,403966,399789,395737,392242,391384,390750,391437,389827,388705,384156,383468,382022,379721,375136,370687,370076,369765,369510,369236,368928,369527,370427,372229,374239,375492,376782,379958,383743,390167,395253,403471,411304,420759,428240,436259,443942,452795,459734,464802,469518,473177,478583,480641,482905,482416,483723,484387,485694,484432,483720,484483,487460,491043,495684,500495,504443,505029,507288,509463,509676,509931,510857,515421,519195,524720,528346,532238,533979,538404,541628,545430,544773,546020,548644,554523,557943,560347,564115,567447,570308,571828,575171,578811,580500,582713,585254,590213,596407,601509,606783,612541,618324,622861,624844,627269,627783,628815,629978,633429,635739,635465,634890,632717,630884,630431,631300,633094,631022,630980,632251,636957,639689,642893,646018,652595,659422,664963,662783,660045,662625,671710,682863,692860,700597,706037,709841,716853,723860,734286,748216,766014,785963,797980,806623,809156,813710,819071,824244
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,31,176359,176651,177332,178532,179919,181116,182473,183995,185615,187304,189100,190832,192316,193418,194864,196220,197851,199166,200464,201983,203628,205507,207032,208262,209468,210693,212376,213509,214860,215736,217307,219062,221172,223005,224310,225812,227338,229117,230576,232203,233294,234395,235314,236766,238370,240175,241747,243330,245138,246720,248232,249887,252036,254315,256372,258463,260303,262390,264547,267000,269066,271031,272830,275023,277521,279990,282303,284426,287101,289531,292054,294416,296763,298891,300920,302597,304065,304707,305326,305531,305548,305214,305132,305508,306544,307564,308126,307901,307289,306497,305503,304572,303001,301728,300298,298608,297523,293352,293870,289409,289732,284575,284302,279866,277560,272249,268651,263301,257830,253878,249425,248130,245172,244395,242613,241379,237736,234745,231358,231067,229391,229477,226879,228192,226903,228217,224251,222400,218717,216542,213258,210215,207862,205387,204213,202216,201846,200167,200053,198485,197194,193746,191989,188562,187087,183538,183926,183865,184810,184306,182731,181829,180667,181584,182161,182809,183972,185332,186386,187824,189367,192291,194701,197280,198797,201883,203074,205081,205457,207550,208591,209107,209970,211309,212081,211872,212297,212777,213226,213829,214133,214935,215732,217628,219054,219364,219552,219649,219777,219452,219454,220505,221898,224649,226334,227406,227219,227151,227746,228183,228655,229322,230831,232374,234352,236187,238582,240011,240761,240450,240215,240259,241204,241845,242598,243995,246522,248931,249777,249918,249992,250245,250362,250288,250875,251266,252185,252947,253380,253997,254298,254694,254366,253907,253683,253317,253102,252587,252357,252245,252676,253240,253512,253282,252967,252995,254434,256302,260057,263409,266220,267886,268523,270805,272555,275574,277363,280400,283957,287720,290321,292823,295736,298479,301067
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,114160,114156,113929,113903,113851,114091,114275,114583,114981,115248,115853,116424,116674,116630,116094,115884,115837,116027,116205,116058,116183,116416,116725,116908,117056,117296,117851,118486,119049,119479,119955,120564,121087,121429,121697,121875,122201,122405,122771,122985,123227,123382,123560,123807,123926,124108,124232,124500,124939,126095,128050,129450,130830,130960,131914,132269,133083,133611,134194,134942,135644,136372,136867,137246,137303,137432,137391,137254,137026,136762,136918,136913,137054,136862,136995,137173,137852,138335,138921,139343,139988,140756,141324,141910,142036,141859,141479,141688,142247,143003,143328,143763,144080,144402,144594,144775,144163,143449,142774,142722,142449,142075,141801,141274,140511,139752,138776,137760,136745,136666,136725,137018,137313,137857,138468,138574,138377,137802,137757,137889,137757,137660,137869,138464,138849,138605,137663,136085,134894,134057,133714,133286,132719,132108,131198,130547,130079,129843,129850,129883,129735,129458,128414,127743,127481,127822,128347,128505,128837,129048,129642,130158,130477,130446,130710,131066,131919,132930,134697,136567,138290,139459,140661,141989,143367,144754,146002,147143,148416,149756,150790,151672,152480,153826,155112,156716,158151,159453,160622,161907,163416,164728,166347,167630,168860,169702,170140,170490,170808,171613,172213,172803,173944,175035,175715,175668,176056,176758,177626,177961,178221,178438,179509,180713,181343,181758,182199,183023,183518,183969,184014,184132,184337,184931,185578,186139,186814,187395,188024,189052,190080,191059,191702,192615,193548,194534,195447,196297,197330,198156,198542,198527,198616,199113,199594,200104,200296,201127,201806,202441,202138,202307,203244,204642,205511,205869,206322,207278,209452,211766,214292,216406,218469,220999,222224,224028,226262,231116,236434,242165,246545,250304,252874,255917,259087
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,13,143827,144205,144664,145568,146472,147152,147884,148580,149419,150137,150855,151567,152275,152972,153665,154336,154999,155643,156234,156833,157442,158126,158852,159477,159992,160447,161015,161615,162150,162817,163546,164495,165161,165854,166413,167143,167817,168566,169172,169883,170558,171346,172109,172984,174055,175094,175965,176658,177290,178193,179337,180702,182387,184148,186819,189861,192610,195463,198275,202204,206393,211971,217274,223587,230469,240002,250446,260380,270940,279604,288190,292319,293764,297888,302817,308410,310046,310658,309364,306565,302777,301136,298557,296340,293698,292283,291583,291541,291403,290146,287928,285048,281974,279009,274546,269937,265152,259176,253247,245717,241010,236049,230761,223500,216713,211715,204525,197133,190349,187290,184215,180870,176644,173469,170993,168982,167176,164318,164047,164119,164799,163532,162125,161816,161173,160583,157599,155331,152105,150583,148716,147008,144646,142811,141928,140391,138904,137059,136635,136539,136701,136951,137011,138291,139141,140565,141122,143788,147590,151801,155240,158583,162516,166160,169705,171831,174687,176553,179254,180831,182821,185694,189613,192819,195356,197124,197560,199190,201324,204601,205374,204869,204512,204694,204596,204701,204330,204674,205727,207163,207987,208692,210717,212821,214773,215550,217135,218503,220508,221601,222426,223022,225077,226835,228224,229165,230215,231156,231271,231874,232982,234801,236450,237301,238161,239620,241445,242709,243713,244803,246543,247516,249057,250407,251787,252549,254037,256378,258696,260576,262138,263445,264942,266461,268412,269612,270512,271354,272509,273768,275208,276058,276806,277532,278709,280645,282344,284035,285697,287804,289922,292026,295107,299410,302252,303974,305874,310328,315682,321067,326429,332721,340178,346609,355382,362026,374283,385751,399081,409106,417353,424880,431003,436767,442537
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,73,228853,230099,231448,234456,237341,241082,244961,249135,252801,256011,259392,262292,264834,268048,272297,277474,281688,284720,286916,289174,291859,294741,297620,299753,301978,304161,307163,310628,314945,319531,325073,330862,336814,342853,348281,354389,359338,364215,369307,374751,380838,385640,391762,396959,403752,409501,415378,416915,421919,429371,439967,448548,457423,472674,486616,499704,508963,518772,526286,532852,536677,540462,547174,555567,563875,566602,567626,568803,569864,570568,570641,570702,572518,571997,572417,571582,573366,572533,569584,565006,561242,558552,557381,555506,554182,551804,545816,539959,533572,529587,524109,520684,515659,511115,504839,500657,494178,486252,477231,470497,462142,453681,443378,433905,422393,413064,404463,399025,393957,391272,389878,384892,382022,375684,374963,371734,373184,373670,377924,381504,385083,386764,388997,393037,393621,393341,390372,388237,384777,380221,376713,375626,374931,374114,371343,369976,368305,367718,365882,362050,358275,355495,354806,353719,354681,355681,356791,356234,356967,359606,362225,364674,366730,370025,373923,381370,387932,394451,400473,407375,414230,422615,431318,439721,443862,446566,449534,453029,459422,467066,468016,466343,462462,462345,462700,460052,460432,461290,465892,467866,468332,468995,473934,477603,481393,481520,480657,481406,483860,488496,492122,497085,504984,508281,507547,506989,508418,511804,510296,512704,515709,522001,525265,528020,528120,531252,535274,540645,545828,549674,551185,552168,554606,559975,563443,567364,573468,580044,584263,584057,583474,584557,586638,589747,590938,593222,594159,593808,590039,587680,587317,590367,592004,593888,596170,598168,598742,599304,601336,603866,606832,610088,615764,619720,622654,622896,626493,633206,643362,654455,666597,677289,686773,695207,705512,719643,740781,765128,789136,803874,813658,818427,826012,837420,857991
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,59,273489,276157,277903,281541,284586,287825,291102,294264,297444,301020,304050,307557,310229,313739,316676,320494,324035,326883,329750,332468,336228,339551,342298,344992,347453,350497,353669,357706,362562,368162,374785,381459,387329,392703,397871,403486,408543,413688,418585,424860,432160,438268,444488,451312,460135,469093,477710,482508,491040,501897,518702,532746,549125,565753,580300,590274,594993,600459,603243,610238,617901,624884,634271,642398,653020,658251,665884,673802,683222,690225,694238,701741,707437,714497,718086,723392,726720,729252,726424,727016,725200,726679,723077,718915,718794,719069,719323,713702,707737,703054,694467,684346,670360,661021,655912,646522,634264,615853,604507,590245,578854,567214,560517,554772,552035,545463,536483,526199,518086,516077,511512,509641,506961,505038,503472,501187,502385,505158,511701,516819,518029,517310,515826,520696,522682,523806,519187,515527,511413,507350,502742,499790,498488,498064,495873,492194,486118,483366,482657,481230,476874,473781,473890,475739,473918,471712,470156,470276,471732,472798,476921,481326,486785,492024,498024,504273,514361,526553,539447,550465,560495,570395,575629,578919,582834,588346,596915,605828,612058,615637,612698,611302,607569,606398,605871,604207,604746,604959,608732,612607,615900,619911,622719,626042,627027,628339,631219,633786,636782,639459,641861,647977,652380,657101,659005,658793,661163,661294,664713,665853,665594,665771,670060,673882,680143,682313,686922,688311,690871,694365,695735,696552,698435,702659,707882,713125,717376,721228,724656,728964,732639,736176,736665,737580,736920,739773,740501,739398,736968,734780,734339,733804,734794,733891,734716,736541,741908,745265,745286,743672,745969,750908,758051,762123,760725,757375,757554,767375,777443,787821,794776,802756,810330,818669,828228,840355,859475,883176,906388,923451,934392,944211,957036,974826,998468
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,47,228090,229595,231080,234207,237189,240314,243263,245232,247057,248748,251291,253618,256271,259304,262674,265733,268542,270920,272929,274946,277065,279405,281998,284554,288279,292713,286985,279818,271338,272851,274443,280914,287243,293467,294735,296116,297341,304546,314176,324743,332207,346343,358320,365447,364345,364626,368156,371023,375482,379084,382562,383056,386551,389112,396962,401531,412102,420427,430027,436758,438792,441096,446123,454884,462749,468720,477202,486917,496254,506063,511005,516754,520211,524459,521048,521789,523897,534957,541193,549256,545919,545375,540510,540204,540767,539432,544418,543339,545227,542254,541889,544460,541277,539271,537548,538007,541049,542503,546491,544893,541494,537973,533467,530397,527966,525361,523124,520502,517807,512802,507713,502261,497911,492410,487157,482516,479726,477022,476588,476487,479160,483793,482860,481252,479275,482170,487051,488357,490187,489237,488918,486743,484797,482081,486276,489975,493126,489807,486482,485016,486465,488582,490418,492414,493595,493759,492166,492634,493176,493909,493864,494496,496299,498294,502776,507248,512179,515672,517543,518970,521272,524666,526570,528933,535101,541652,546757,550702,554996,561556,567066,574597,580780,585911,589858,593788,597772,601073,602881,605087,606829,609161,611629,618974,626877,634080,638631,642205,648208,653686,660130,664908,667367,668805,670634,674104,676721,679037,681599,684981,686561,687188,689315,693751,699354,703582,707288,711327,715163,717554,720239,723435,728908,735415,741062,746239,749685,754423,757411,759584,761499,764846,768629,771729,772283,774537,778813,784059,787496,789943,792051,793750,794578,794785,795588,793209,790876,787444,785280,783688,783060,783323,785704,787949,789562,789966,792532,796492,800344,802836,806882,809115,810033,810303,811081,813298,813275,815436,818938,826937,834535,839450,840839,841823,845442
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,133008,133658,134113,135037,135723,136435,137184,137841,138558,139152,139915,140777,141735,142690,143510,144467,145564,146861,148339,149999,151740,153330,154858,156400,158008,159664,161296,163086,164828,166776,168914,171266,173268,175065,176616,179135,181987,185087,187812,190637,193206,195510,197347,199471,201944,204465,206897,208683,210970,213204,216252,218911,222293,225718,229723,233918,238133,242519,246840,251774,256435,261062,265319,269586,275396,282292,289561,296398,303823,310440,315720,320186,325569,330414,336686,343330,350271,354767,358640,361478,363595,364538,366198,367978,368445,369091,367847,367745,366309,365298,363822,361944,358195,355240,350895,348774,341129,333246,323646,316334,309401,302218,295057,286561,277681,268831,261107,253091,244654,236810,229477,223422,217630,213312,208441,204443,200518,197989,195507,192988,191547,190519,190265,189866,189271,187706,185974,184098,182654,180386,178641,177461,176120,174694,173570,173314,172721,171749,170830,170403,170260,170858,171464,171677,172265,172238,172741,173011,174069,175659,177157,179030,181252,183355,185362,186621,188114,190572,193884,197750,200637,202719,205553,208276,211302,213855,218036,222266,225853,227422,228507,229431,230904,232657,234548,236419,238614,241548,243331,245209,245895,247405,248076,249264,250694,252370,253687,254936,256581,257623,259621,261793,264590,266825,268167,269764,270756,272899,275216,277515,279194,280411,281690,283467,285503,287364,288186,288959,290345,291813,293106,294653,295634,297303,297715,299425,300308,302752,304709,306998,308650,310149,311646,312403,313389,313878,316530,318174,320231,320549,321471,322314,322426,322998,323306,323366,323091,323465,323814,324000,324029,326762,329116,330928,331957,332705,333963,335188,337163,338971,340293,342991,347103,351070,355808,358546,363544,368412,374738,381277,389295,397816,405696,413644,422127
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,113786,113900,113999,114229,114477,114715,115020,115445,115986,116553,117121,117741,118122,117622,117526,117628,118293,118207,118126,118364,118700,119055,119241,119512,119669,119984,120333,120854,121323,121962,122521,123093,123634,124112,124593,124961,125233,125439,125713,125894,126060,126211,126206,126217,126196,126388,126608,126648,127752,129741,132508,134309,135030,135150,135238,135527,135565,135763,136363,136743,137799,137652,137966,137882,138470,139243,139469,139608,139711,139528,139573,139170,138954,139174,139445,140084,140684,141215,141153,140769,140679,141596,142012,142525,141922,141276,140666,140963,141709,142188,142593,143000,143513,143488,143525,143769,143039,141517,139776,138964,138699,138266,138233,137631,136669,135192,133145,131965,130941,131493,131660,132177,132359,132388,132405,132200,132435,132552,133247,133421,133029,132427,131833,132005,131886,132051,131497,130769,129330,128356,127219,127089,126747,126504,125705,124842,124069,123425,123205,122899,122869,122512,122212,121275,120478,120589,121177,121552,121588,121806,122764,123320,123883,124207,124932,125519,125822,125779,125846,126694,127828,129236,130413,131393,132612,134018,135573,136761,136570,136489,136307,137176,138370,139928,139930,139877,139887,141278,142970,144409,144676,144601,144731,146763,149121,151422,153682,154503,155439,156348,158454,160453,160391,160072,159701,161241,163254,165589,168277,169820,171266,172643,174902,176889,178398,179898,181398,182946,184391,185346,186262,186238,186760,187263,188720,190588,193909,197323,200245,201689,203078,204462,206233,208843,209977,210589,210362,211525,214349,216970,219281,219462,219039,218508,218442,219617,221208,220978,220158,218886,221156,223194,225542,225635,225428,225234,225713,227717,230134,233003,234705,236650,239563,243167,246497,249338,252586,256993,261577,268469,275266,280795,284003,286866,292019
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,81,252829,254686,256578,259459,261867,264135,266832,269905,272737,276222,279560,282729,285313,287729,290673,293769,297050,300030,302801,305230,306670,308100,310200,313145,316452,317780,315956,313634,312604,315207,317918,320684,323121,325274,327298,329075,331067,333204,335255,337117,338734,341666,343385,345333,346957,349761,352654,354711,357492,360192,363238,366391,370357,375336,380367,384957,389401,394485,400808,406699,411205,415371,420335,427139,434445,438396,444898,450887,458981,465365,470528,478449,484049,490929,495962,499588,504512,506532,509663,513398,518066,514857,503855,494654,490976,493371,500716,504149,508126,503042,501442,499475,499131,501660,501791,503272,502905,501605,498159,495039,490942,486842,482496,478295,473764,470091,466249,460808,454836,449149,445524,441774,437528,433377,429057,425827,423218,420451,420074,419268,419191,417524,415645,414980,415097,417244,418358,419339,420739,422407,422218,420309,419801,419831,421049,420505,420577,419665,419457,419395,418785,416846,415234,414584,414728,414528,413020,412685,412294,414576,416053,416701,416717,417231,419562,420867,421799,422567,424726,427357,429591,432516,435396,438326,440035,441936,445085,447731,451649,455721,460066,463669,465090,466617,468529,471057,474371,475935,479309,482053,485061,487112,489176,492019,494411,498919,502700,506797,508934,510865,513364,516364,519628,522886,525381,529153,532706,536589,540393,543794,547900,551185,555332,558694,562720,565242,568185,570041,573264,576108,579543,582905,586088,590226,593497,596427,598851,602543,607047,612279,616920,622009,627281,631527,634984,636431,638871,641864,645026,648363,650858,651862,652233,651354,650832,650129,648877,648245,647712,648526,650433,653601,655136,656094,654590,654408,656248,658461,661651,662103,664758,668444,673357,675822,676763,677348,681455,685518,689908,692638,698019,703382,707827,710142,713297
