,STNAME,Change_From_2010
9,Alabama,38.51
19,Alaska,17.44
29,Arizona,78.7
39,Arkansas,37.66
49,California,71.53
59,Colorado,74.92
69,Connecticut,1.1
79,Delaware,10.63
89,Florida,67.75
99,Georgia,54.35
109,Hawaii,42.22
119,Idaho,102.03
129,Illinois,20.6
139,Indiana,49.76
149,Iowa,34.21
159,Kansas,61.79
169,Kentucky,39.81
179,Louisiana,36.36
189,Maine,31.09
199,Maryland,15.75
209,Massachusetts,38.13
219,Michigan,72.73
229,Minnesota,56.96
239,Mississippi,219.84
249,Missouri,66.63
259,Montana,65.64
269,Nebraska,57.16
279,Nevada,102.73
289,New Hampshire,32.09
299,New Jersey,11.68
309,New Mexico,70.94
319,New York,36.77
329,North Carolina,37.32
339,North Dakota,69.72
349,Ohio,33.64
359,Oklahoma,26.15
369,Oregon,62.49
379,Pennsylvania,19.13
389,Rhode Island,26.75
399,South Carolina,37.62
409,South Dakota,141.31
419,Tennessee,47.66
429,Texas,57.24
439,Utah,74.94
449,Vermont,15.05
459,Virginia,35.26
469,Washington,72.59
479,West Virginia,50.09
489,Wisconsin,36.9
499,Wyoming,64.48
