,Unnamed: 0,STNAME,Change_From_2010,FIPS
0,9,Alabama,38.5103925009465,01
1,19,Alaska,17.438207830882746,02
2,29,Arizona,78.70365697840258,04
3,39,Arkansas,37.663333748604266,05
4,49,California,71.53244818605783,06
5,59,Colorado,74.9249122092188,08
6,69,Connecticut,1.1014752145099391,09
7,79,Delaware,10.631554846371817,10
8,89,Florida,67.75251755332077,12
9,99,Georgia,54.34647288516739,13
10,109,Hawaii,42.21771301821469,15
11,119,Idaho,102.02981604982666,16
12,129,Illinois,20.596223987719185,17
13,139,Indiana,49.75648434549276,18
14,149,Iowa,34.20797148073167,19
15,159,Kansas,61.78951567988496,20
16,169,Kentucky,39.8084972235516,21
17,179,Louisiana,36.35505877727046,22
18,189,Maine,31.088698003822103,23
19,199,Maryland,15.748062410014118,24
20,209,Massachusetts,38.13167792405046,25
21,219,Michigan,72.73373209778644,26
22,229,Minnesota,56.96122110335735,27
23,239,Mississippi,219.84093900180443,28
24,249,Missouri,66.62949519035257,29
25,259,Montana,65.6426964058926,30
26,269,Nebraska,57.160811667040704,31
27,279,Nevada,102.73153677029693,32
28,289,New Hampshire,32.090963724561576,33
29,299,New Jersey,11.676702208819869,34
30,309,New Mexico,70.9358188164468,35
31,319,New York,36.77103109112103,36
32,329,North Carolina,37.31888766526363,37
33,339,North Dakota,69.7231134682162,38
34,349,Ohio,33.64170741003052,39
35,359,Oklahoma,26.14926435907663,40
36,369,Oregon,62.48975428931056,41
37,379,Pennsylvania,19.13432040905807,42
38,389,Rhode Island,26.751123919624888,44
39,399,South Carolina,37.61938722063416,45
40,409,South Dakota,141.31112629979322,46
41,419,Tennessee,47.657439421032265,47
42,429,Texas,57.2377247659867,48
43,439,Utah,74.94273810615834,49
44,449,Vermont,15.054333293781164,50
45,459,Virginia,35.2587933770939,51
46,469,Washington,72.58789451928484,53
47,479,West Virginia,50.089230347545154,54
48,489,Wisconsin,36.89984040623866,55
49,499,Wyoming,64.4790382372568,56
